Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.645,.,.,No,.,.
0.3537,.,.,No,.,.
3.3877,.,.,Yes,14,1
0.9938,.,.,Yes,15,3
0.4509,.,.,Yes,15,2
1.0811,.,.,Yes,13,4
0.7033,.,.,No,.,.
1.355,.,.,Yes,15,3
3.2492,.,.,Yes,12,2
0.0821,.,.,No,.,.
3.0194,.,.,No,.,.
0.6372,.,.,Yes,15,1
0.6762,.,.,Yes,14,5
0.2872,.,.,Yes,15,1
0.5074,.,.,No,.,.
0.0335,.,Black,Yes,15,5
0.7615,.,.,Yes,14,4
0.8583,.,.,Yes,17,6
0.2253,.,.,No,.,.
1.139,.,.,No,.,.
1.7754,.,.,No,.,.
0.5727,.,.,No,.,.
0.9531,.,.,Yes,11,.
0.2758,.,.,Yes,16,1
0.7615,.,.,No,.,.
0.5365,.,.,No,.,.
1.0093,.,.,Yes,16,1
0.8864,.,Hispanic,.,.,.
1.6368,.,Hispanic,.,.,.
0.6156,.,Hispanic,Yes,11,6
1.2519,.,Hispanic,Yes,11,6
1.1696,.,White,Yes,11,6
0.0313,.,Hispanic,.,.,.
2.749,.,Other,.,.,.
0.2295,.,Black,Yes,12,6
0.6668,.,Hispanic,Yes,11,6
0.5954,13,Hispanic,.,.,.
0.7174,13,White,No,.,.
0.4117,13,Black,No,.,.
1.2506,13,Other,Yes,11,6
0.2973,13,Black,.,12,5
0.9001,13,Hispanic,.,13,6
0.4539,14,White,No,.,.
0.4539,14,White,No,.,.
0.4539,14,White,.,.,.
0.4539,14,White,No,.,.
1.1449,14,White,Yes,14,1
1.1449,14,White,No,.,.
1.1449,14,White,No,.,.
1.4923,14,Other,Yes,12,4
0.8505,14,Other,No,.,.
0.6871,14,Black,No,.,.
0.9062,14,White,No,.,.
0.9062,14,Other,No,.,.
0.9062,14,White,No,.,.
0.9957,14,Hispanic,No,.,.
0.3338,14,Hispanic,.,.,.
0.3338,14,Hispanic,Yes,13,3
0.3338,14,Hispanic,No,.,.
1.9563,14,White,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4402,14,White,No,.,.
0.4402,14,White,Yes,14,3
0.4116,14,Hispanic,Yes,13,2
0.4117,14,Black,No,.,.
0.5782,14,Hispanic,No,.,.
0.5782,14,Hispanic,Yes,14,1
0.4117,14,Black,No,.,.
0.4117,14,Black,Yes,14,1
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,Yes,13,1
0.4793,14,Other,No,.,.
0.5782,14,Hispanic,No,.,.
0.5782,14,Hispanic,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Other,No,.,.
0.4116,14,Hispanic,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.4116,14,Hispanic,Yes,11,6
0.4117,14,Other,No,.,.
0.5429,14,Other,Yes,14,4
0.4117,14,Black,Yes,12,3
0.4117,14,Black,No,.,.
0.4117,14,Black,No,.,.
0.5782,14,Hispanic,No,.,.
0.5782,14,Hispanic,No,.,.
0.5782,14,Hispanic,No,.,.
0.4117,14,Black,Yes,14,4
0.3094,14,Other,No,.,.
0.2509,14,Other,No,.,.
0.3338,14,Hispanic,No,.,.
1.4834,14,Black,Yes,14,1
0.2509,14,Other,No,.,.
0.3338,14,Hispanic,Yes,14,1
0.3338,14,Hispanic,.,.,.
0.4402,14,White,No,.,.
2.0406,14,White,Yes,13,3
0.9958,14,Black,No,.,.
0.9957,14,Hispanic,No,.,.
0.687,14,Hispanic,No,.,.
0.687,14,Hispanic,No,.,.
0.687,14,Hispanic,No,.,.
1.4923,14,White,No,.,.
1.1316,14,Black,No,.,.
1.4923,14,White,Yes,14,1
0.5459,14,White,No,.,.
1.1449,14,White,No,.,.
1.1449,14,White,No,.,.
0.4539,14,White,Yes,11,2
0.4539,14,White,No,.,.
0.4539,14,White,No,.,.
0.2587,14,.,No,.,.
0.4539,14,White,No,.,.
3.3877,14,White,Yes,14,1
3.3877,14,White,Yes,14,1
3.3877,14,White,Yes,14,1
3.3877,14,White,No,.,.
1.3719,14,White,Yes,14,1
1.3719,14,White,No,.,.
0.7989,14,Other,Yes,14,1
1.1421,14,Hispanic,No,.,.
1.1421,14,Hispanic,No,.,.
0.8585,14,Other,No,.,.
1.1423,14,Black,Yes,13,2
0.9527,14,White,Yes,13,4
0.9527,14,White,No,.,.
0.9527,14,White,No,.,.
0.9527,14,White,Yes,14,2
0.9527,14,White,Yes,14,2
0.9527,14,White,No,.,.
1.1023,14,White,No,.,.
0.144,14,White,Yes,11,6
1.6801,14,White,No,.,.
1.6801,14,White,No,.,.
1.6801,14,White,No,.,.
1.3108,14,White,No,.,.
1.3108,14,White,No,.,.
0.3752,14,Black,No,.,.
0.3752,14,Black,Yes,13,3
0.7174,14,White,No,.,.
0.3752,14,Black,No,.,.
0.7174,14,White,Yes,14,1
0.3752,14,Black,Yes,13,1
0.7174,14,White,Yes,14,2
0.7174,14,White,Yes,14,1
0.5667,14,White,No,.,.
0.4297,14,Other,Yes,13,1
0.5667,14,White,No,.,.
0.4297,14,Black,No,.,.
0.5667,14,.,No,.,.
0.5667,14,White,Yes,11,1
2.398,14,White,No,.,.
2.398,14,White,No,.,.
2.398,14,White,No,.,.
0.8865,14,Black,No,.,.
0.6736,14,Black,No,.,.
0.6735,14,Hispanic,No,.,.
0.6736,14,Black,No,.,.
0.6736,14,Black,No,.,.
0.6736,14,Black,Yes,14,1
0.8883,14,White,No,.,.
0.6735,14,Hispanic,No,.,.
0.4766,14,White,No,.,.
0.4766,14,White,No,.,.
0.4766,14,White,No,.,.
0.4766,14,White,No,.,.
0.4766,14,White,No,.,.
0.4766,14,White,No,.,.
0.2995,14,Other,Yes,13,3
0.3613,14,Hispanic,No,.,.
0.4766,14,White,No,.,.
0.2716,14,Other,No,.,.
0.4766,14,White,No,.,.
0.2747,14,White,No,.,.
0.2747,14,White,No,.,.
0.2747,14,White,No,.,.
0.2083,14,Hispanic,Yes,13,1
0.2747,14,White,No,.,.
0.2747,14,White,No,.,.
0.2747,14,White,No,.,.
0.2083,14,Other,No,.,.
0.2747,14,Other,No,.,.
0.2747,14,White,Yes,14,1
0.2747,14,White,.,.,.
0.2747,14,White,Yes,14,2
0.2083,14,Hispanic,No,.,.
0.2747,14,White,No,.,.
0.2747,14,White,No,.,.
0.1726,14,Other,Yes,13,1
0.8865,14,Black,No,.,.
2.398,14,White,No,.,.
2.398,14,White,No,.,.
2.398,14,White,No,.,.
1.6123,14,White,No,.,.
