Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
2.9625,.,Hispanic,No,.,.
0.9016,.,White,No,.,.
0.4503,.,White,Yes,11,6
0.3123,.,White,No,.,.
1.5725,.,Hispanic,.,.,.
0.2189,.,Hispanic,.,.,.
1.0235,.,Other,No,.,.
1.821,.,Hispanic,Yes,11,6
0.2092,.,Hispanic,Yes,.,1
0.7689,.,Other,.,.,.
0.1927,.,Hispanic,.,.,.
1.0512,.,Hispanic,Yes,.,1
1.2656,.,Other,Yes,.,6
0.4726,.,Hispanic,.,.,.
0.9185,.,Hispanic,.,.,.
0.1927,.,Hispanic,.,.,.
0.1927,.,Hispanic,.,12,2
0.1927,.,Hispanic,.,.,.
0.1203,.,Hispanic,.,.,.
0.1466,.,Other,.,.,.
0.1717,.,.,.,.,.
0.1496,.,.,.,.,.
1.0308,13,Black,.,.,.
0.4943,13,Hispanic,No,.,.
0.714,13,White,No,.,.
0.4726,13,Hispanic,.,.,.
0.1133,13,White,No,.,.
0.1383,13,White,No,.,.
0.4835,13,Other,No,.,.
0.9238,13,Hispanic,.,.,.
0.1383,13,White,No,.,.
0.513,14,White,No,.,.
0.513,14,White,.,.,.
0.513,14,White,Yes,14,1
0.513,14,White,Yes,13,1
0.513,14,White,No,.,.
1.7018,14,White,No,.,.
0.1308,14,Other,No,.,.
0.1823,14,Other,No,.,.
2.6485,14,Hispanic,No,.,.
0.54,14,Hispanic,.,.,.
0.3309,14,Other,No,.,.
0.8837,14,Other,Yes,14,1
0.6205,14,Other,No,.,.
0.54,14,Hispanic,No,.,.
0.54,14,Hispanic,No,.,.
0.54,14,Hispanic,No,.,.
0.54,14,Hispanic,No,.,.
0.7805,14,White,No,.,.
0.7805,14,White,Yes,13,1
0.58,14,Other,No,.,.
0.6205,14,Other,No,.,.
0.54,14,Hispanic,No,.,.
2.3404,14,White,No,.,.
0.5738,14,Other,No,.,.
0.9364,14,Hispanic,No,.,.
2.0759,14,Black,Yes,13,3
1.9009,14,White,Yes,14,1
4.8479,14,Black,No,.,.
1.9009,14,White,No,.,.
1.9009,14,White,No,.,.
2.5297,14,Other,No,.,.
2.5297,14,Other,No,.,.
2.9625,14,Hispanic,.,.,.
2.9625,14,Hispanic,No,.,.
1.9009,14,White,Yes,14,1
2.9625,14,Hispanic,Yes,14,1
1.076,14,White,No,.,.
0.9364,14,Hispanic,No,.,.
0.58,14,Other,No,.,.
0.7805,14,White,No,.,.
0.7805,14,White,No,.,.
0.54,14,Hispanic,No,.,.
0.7805,14,White,No,.,.
0.8837,14,Black,Yes,13,.
3.0434,14,White,No,.,.
3.0434,14,White,No,.,.
4.3341,14,Black,No,.,.
3.0434,14,White,No,.,.
3.0434,14,White,No,.,.
0.2135,14,Hispanic,No,.,.
2.2319,14,Black,No,.,.
2.5297,14,Other,No,.,.
1.7018,14,White,Yes,13,3
4.6949,14,White,No,.,.
5.0113,14,Black,No,.,.
0.594,14,Hispanic,.,.,.
0.513,14,White,Yes,14,1
