Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.2986,.,Black,.,.,.
1.1782,.,.,Yes,14,6
0.3821,.,.,Yes,11,6
1.4378,.,.,Yes,16,2
0.7353,.,.,Yes,14,5
0.2587,.,Hispanic,Yes,16,2
1.3,.,.,Yes,16,2
0.5158,.,.,No,.,.
0.6351,.,.,Yes,16,5
1.127,.,.,No,.,.
0.3545,.,Black,.,.,.
1.5346,.,.,.,.,.
1.0889,.,White,No,.,.
0.8161,.,.,Yes,16,2
0.8297,.,.,No,.,.
1.3194,.,.,Yes,14,2
0.9427,.,.,.,.,.
0.4475,.,Black,.,.,.
0.8283,.,Black,Yes,11,6
0.5555,.,Hispanic,.,.,.
0.5555,.,.,.,.,.
0.5411,.,White,Yes,11,6
1.1334,.,Black,Yes,11,6
0.4833,.,Hispanic,.,.,.
0.4833,.,Hispanic,Yes,11,6
0.2735,.,Hispanic,Yes,11,3
1.284,.,Hispanic,Yes,11,6
0.0563,.,Hispanic,Yes,.,3
1.284,.,Hispanic,No,.,.
1.3156,.,Other,Yes,11,6
0.6212,.,Hispanic,Yes,11,6
1.1334,13,Black,No,.,.
2.6028,13,White,No,.,.
1.3109,13,White,Yes,11,6
0.6631,13,Other,No,.,.
0.4209,13,Other,No,.,.
0.1496,13,Hispanic,No,.,.
0.9989,13,Hispanic,No,.,.
1.0982,13,Hispanic,Yes,11,6
0.0574,13,Black,No,.,.
1.5696,13,White,.,.,.
0.0862,13,Black,.,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,Yes,13,2
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.7188,14,Black,No,.,.
0.4689,14,Hispanic,No,.,.
0.5419,14,White,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.7188,14,Black,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,No,.,.
0.4689,14,Hispanic,Yes,13,3
2.6794,14,White,No,.,.
3.554,14,Black,No,.,.
2.6794,14,White,Yes,14,1
0.5403,14,Hispanic,Yes,13,1
0.5403,14,Hispanic,No,.,.
0.5403,14,Hispanic,No,.,.
0.5403,14,Hispanic,Yes,14,1
0.6245,14,White,No,.,.
0.5403,14,Hispanic,No,.,.
1.2076,14,White,No,.,.
0.5932,14,Other,No,.,.
1.2076,14,White,No,.,.
1.2076,14,White,No,.,.
1.0449,14,Hispanic,Yes,13,1
1.2076,14,.,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.642,14,White,No,.,.
0.3154,14,Other,No,.,.
0.5555,14,Hispanic,No,.,.
0.5555,14,Hispanic,No,.,.
0.3154,14,Other,Yes,14,1
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.5555,14,Hispanic,Yes,14,1
0.3154,14,Other,No,.,.
0.642,14,.,No,.,.
0.3154,14,.,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.3154,14,Other,No,.,.
0.713,14,Hispanic,Yes,11,1
1.0931,14,Black,Yes,13,2
0.713,14,Hispanic,No,.,.
0.713,14,Hispanic,No,.,.
0.8241,14,White,No,.,.
0.713,14,Hispanic,No,.,.
1.0344,14,Hispanic,Yes,13,1
1.0344,14,Hispanic,No,.,.
1.0344,14,Hispanic,No,.,.
1.0344,14,Hispanic,No,.,.
1.0344,14,Hispanic,No,.,.
1.0344,14,Hispanic,No,.,.
1.0344,14,Hispanic,.,.,.
2.2593,14,White,Yes,14,1
2.2593,14,White,No,.,.
2.2593,14,White,No,.,.
2.2593,14,White,No,.,.
2.2593,14,White,No,.,.
2.2593,14,White,Yes,14,1
2.2593,14,White,No,.,.
2.2593,14,White,No,.,.
1.1102,14,White,Yes,12,6
1.4726,14,Black,No,.,.
1.1102,14,White,No,.,.
1.1102,14,Other,Yes,13,6
0.4682,14,Hispanic,No,.,.
0.4682,14,Hispanic,No,.,.
0.4682,14,Hispanic,No,.,.
0.4682,14,Hispanic,No,.,.
0.4682,14,Hispanic,No,.,.
0.4682,14,Hispanic,No,.,.
0.4358,14,Hispanic,No,.,.
0.4358,14,Hispanic,No,.,.
0.4358,14,Hispanic,Yes,13,3
0.4358,14,Hispanic,No,.,.
0.955,14,.,Yes,14,2
0.955,14,Black,Yes,13,4
0.955,14,Black,No,.,.
1.1102,14,White,No,.,.
2.2593,14,White,No,.,.
0.535,14,Black,No,.,.
0.535,14,Black,Yes,13,3
0.535,14,Black,Yes,14,1
1.0344,14,Hispanic,Yes,11,6
