Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.7376,.,.,Yes,14,1
0.8425,.,Black,Yes,12,2
1.1351,.,Hispanic,No,.,.
1.6473,.,.,No,.,.
1.426,.,Hispanic,.,.,.
1.8875,.,.,No,.,.
0.3813,.,Black,No,.,.
0.3078,.,.,Yes,15,4
1.1881,.,.,No,.,.
0.9237,.,Other,Yes,11,6
0.3315,.,Hispanic,.,.,.
0.7795,.,Hispanic,.,.,.
0.7772,.,Other,.,.,.
0.2629,.,Hispanic,.,.,.
0.3809,.,Hispanic,.,.,.
0.5515,.,Black,.,.,.
0.2229,.,Black,Yes,.,4
0.3873,.,Other,.,.,.
0.789,.,Hispanic,Yes,.,.
0.1376,.,Hispanic,Yes,11,6
0.9539,.,Hispanic,Yes,11,6
0.7174,.,Hispanic,.,.,.
1.4795,.,Hispanic,Yes,.,3
0.3136,.,Hispanic,Yes,.,6
0.9853,.,Hispanic,Yes,11,6
0.789,.,Hispanic,.,.,.
0.1006,13,Other,No,.,.
0.8504,13,Hispanic,No,.,.
0.2648,13,Hispanic,No,.,.
0.4505,13,Black,No,.,.
0.3227,13,White,No,.,.
1.1815,13,White,No,.,.
0.2418,13,Other,.,.,.
0.4068,13,Hispanic,No,.,.
0.4068,13,Hispanic,No,.,.
3.2933,13,White,No,.,.
1.3444,13,Black,No,.,.
1.2401,14,Hispanic,Yes,14,1
1.2401,14,Hispanic,No,.,.
1.2401,14,Hispanic,Yes,14,2
0.7846,14,Hispanic,No,.,.
1.1815,14,White,No,.,.
0.3683,14,Black,Yes,.,2
0.3683,14,Black,No,.,.
0.3683,14,Black,No,.,.
0.2165,14,Hispanic,No,.,.
0.3683,14,Black,No,.,.
2.9677,14,Hispanic,No,.,.
2.9677,14,Hispanic,No,.,.
2.9677,14,Hispanic,.,.,.
2.9677,14,Hispanic,No,.,.
4.469,14,White,No,.,.
4.469,14,White,No,.,.
4.5311,14,Other,No,.,.
2.9677,14,Hispanic,No,.,.
2.9677,14,Hispanic,No,.,.
2.9677,14,Hispanic,No,.,.
2.9677,14,Hispanic,Yes,14,1
0.851,14,Hispanic,Yes,13,1
0.851,14,Hispanic,No,.,.
1.2815,14,White,No,.,.
1.4477,14,Other,Yes,.,.
0.4379,14,Other,No,.,.
1.2993,14,Other,No,.,.
0.851,14,Hispanic,No,.,.
0.3617,14,Other,No,.,.
0.3617,14,Other,No,.,.
0.3617,14,Other,No,.,.
0.3617,14,Other,Yes,14,1
0.3617,14,Other,No,.,.
0.3617,14,.,Yes,12,1
0.3617,14,Other,Yes,13,4
0.9071,14,Hispanic,No,.,.
0.5425,14,Hispanic,No,.,.
0.817,14,White,Yes,14,1
0.817,14,Other,No,.,.
0.5425,14,Hispanic,No,.,.
0.817,14,White,No,.,.
4.469,14,White,Yes,14,1
2.9677,14,Hispanic,.,.,.
4.469,14,White,No,.,.
2.9677,14,Hispanic,No,.,.
0.2911,14,Hispanic,No,.,.
0.2911,14,Hispanic,No,.,.
0.4384,14,White,Yes,11,6
0.2911,14,Hispanic,No,.,.
0.2911,14,Hispanic,No,.,.
0.4444,14,Other,No,.,.
0.3683,14,Other,Yes,14,1
1.1815,14,White,No,.,.
2.2166,14,White,Yes,14,1
2.5041,14,Black,Yes,14,1
2.2166,14,White,Yes,13,6
1.7769,14,White,No,.,.
0.2943,14,Other,Yes,11,.
0.3329,14,Black,No,.,.
0.3324,14,Black,No,.,.
0.3324,14,Black,No,.,.
0.3329,14,Black,Yes,13,2
0.2943,14,White,Yes,13,1
0.2943,14,Other,Yes,13,2
0.2983,14,Other,No,.,.
0.3329,14,Black,No,.,.
0.3329,14,Black,No,.,.
0.4211,14,Black,No,.,.
0.3329,14,Other,.,.,.
0.3779,14,Other,No,.,.
0.7465,14,Black,Yes,11,2
0.7465,14,Black,.,.,.
0.7465,14,Black,Yes,11,1
0.2475,14,Hispanic,.,.,.
0.4388,14,Hispanic,No,.,.
0.3728,14,White,No,.,.
0.2475,14,Hispanic,No,.,.
0.3728,14,White,.,.,.
0.4388,14,Hispanic,No,.,.
0.2418,14,Black,Yes,12,2
0.3419,14,Hispanic,No,.,.
1.4945,14,Hispanic,No,.,.
0.2418,14,Black,No,.,.
1.3459,14,White,No,.,.
1.3459,14,White,No,.,.
1.3646,14,Other,No,.,.
2.0304,14,Black,No,.,.
0.1421,14,Hispanic,No,.,.
0.9354,14,Hispanic,No,.,.
1.4087,14,White,No,.,.
2.5169,14,White,No,.,.
0.5398,14,Hispanic,No,.,.
0.5398,14,Hispanic,No,.,.
0.8659,14,Black,.,.,.
1.9801,14,White,No,.,.
0.7772,14,Other,Yes,11,1
0.509,14,Hispanic,.,.,.
1.1739,14,White,No,.,.
1.1739,14,White,No,.,.
1.1739,14,White,No,.,.
1.1739,14,White,No,.,.
0.7795,14,Hispanic,No,.,.
0.5748,14,Hispanic,No,.,.
