Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
1.85,14,White,No,.,.
1.85,14,White,No,.,.
1.85,14,White,No,.,.
1.85,14,White,No,.,.
1.2953,14,White,.,.,.
1.2953,14,White,.,.,.
1.2953,14,White,.,.,.
1.2953,14,White,.,.,.
2.8685,14,White,.,.,.
2.8685,14,White,.,.,.
2.8685,14,White,.,.,.
1.5308,14,White,.,.,.
1.5308,14,White,.,.,.
1.5308,14,White,.,.,.
1.5308,14,White,.,.,.
1.5308,14,White,.,.,.
1.5308,14,White,.,.,.
0.2153,14,White,No,.,.
0.2153,14,White,No,.,.
1.818,14,White,No,.,.
1.818,14,White,No,.,.
1.818,14,White,No,.,.
1.818,14,White,No,.,.
1.818,14,White,No,.,.
1.818,14,White,Yes,12,2
1.6792,14,Black,Yes,12,6
1.0262,14,Other,No,.,.
1.0262,14,Other,No,.,.
2.2193,14,White,No,.,.
1.18,14,Hispanic,.,.,.
1.18,14,Hispanic,Yes,13,4
1.18,14,Hispanic,No,.,.
2.099,14,Hispanic,No,.,.
1.18,14,Hispanic,Yes,14,1
1.18,14,Hispanic,No,.,.
2.099,14,Hispanic,No,.,.
2.6274,14,Other,No,.,.
1.18,14,Hispanic,No,.,.
1.18,14,Hispanic,No,.,.
1.18,14,.,Yes,14,1
1.18,14,Hispanic,No,.,.
0.6294,14,Black,No,.,.
0.8003,14,Hispanic,No,.,.
0.8003,14,Hispanic,No,.,.
0.8003,14,Hispanic,No,.,.
0.8003,14,Hispanic,No,.,.
0.7815,14,Black,No,.,.
1.199,14,Hispanic,Yes,.,1
1.199,14,Hispanic,Yes,.,1
1.199,14,Hispanic,Yes,.,1
1.1709,14,Black,Yes,13,1
0.851,14,Hispanic,No,.,.
0.851,14,Hispanic,No,.,.
0.851,14,Hispanic,No,.,.
0.851,14,Hispanic,Yes,14,1
0.851,14,Hispanic,Yes,14,1
1.0652,14,Other,No,.,.
1.0652,14,Other,No,.,.
0.851,14,Hispanic,No,.,.
1.0652,14,Other,No,.,.
0.831,14,Black,Yes,14,1
0.8997,14,White,No,.,.
0.831,14,Black,No,.,.
2.0321,14,White,No,.,.
0.5361,14,Other,No,.,.
2.4058,14,Other,No,.,.
2.1294,14,White,Yes,14,1
2.0321,14,White,No,.,.
2.014,14,Hispanic,No,.,.
2.0321,14,White,No,.,.
2.0321,14,White,No,.,.
1.922,14,Hispanic,No,.,.
2.4058,14,Other,No,.,.
2.4058,14,Other,No,.,.
2.4058,14,Other,No,.,.
1.8769,14,Black,Yes,14,1
2.1983,14,Hispanic,No,.,.
2.1467,14,Black,No,.,.
0.2153,14,White,No,.,.
1.193,14,Black,Yes,12,3
0.2036,14,Hispanic,No,.,.
1.4603,14,Black,Yes,14,1
1.4603,14,Black,No,.,.
0.2036,14,Hispanic,No,.,.
1.4603,14,Black,Yes,13,1
1.5811,14,White,No,.,.
0.1988,14,Black,No,.,.
0.2036,14,Hispanic,No,.,.
1.2217,14,Hispanic,No,.,.
1.193,14,Black,Yes,.,1
1.2685,14,Hispanic,No,.,.
0.9999,14,Hispanic,.,.,.
0.9999,14,Hispanic,.,.,.
0.9764,14,Black,.,.,.
0.2036,14,Hispanic,Yes,11,1
0.9764,14,Black,.,.,.
0.9764,14,Black,.,.,.
0.9764,14,Black,.,.,.
0.2036,14,Hispanic,No,.,.
0.9999,14,Hispanic,.,.,.
0.9764,14,Black,.,.,.
0.5843,14,Hispanic,No,.,.
1.2516,14,Other,.,.,.
1.0572,14,White,.,.,.
1.0572,14,White,.,.,.
4.0758,14,White,No,.,.
1.0572,14,White,.,.,.
0.2153,14,White,No,.,.
0.2153,14,White,No,.,.
0.2036,14,Hispanic,No,.,.
0.2153,14,White,Yes,14,2
0.5843,14,Hispanic,No,.,.
0.2153,14,White,No,.,.
0.2036,14,Hispanic,No,.,.
0.5843,14,Hispanic,No,.,.
0.5843,14,Hispanic,Yes,12,6
0.515,14,White,No,.,.
0.515,14,White,No,.,.
0.515,14,White,Yes,13,1
0.515,14,White,No,.,.
0.5843,14,Hispanic,No,.,.
1.9265,14,Hispanic,No,.,.
2.0369,14,White,No,.,.
2.0369,14,White,No,.,.
2.4114,14,Other,No,.,.
2.0369,14,White,No,.,.
2.0369,14,White,No,.,.
2.4114,14,Other,No,.,.
2.0369,14,White,No,.,.
1.2685,14,Hispanic,No,.,.
0.5843,14,Hispanic,Yes,13,1
1.5878,14,Other,No,.,.
0.5843,14,Hispanic,Yes,11,1
1.8799,14,Black,Yes,11,3
1.8799,14,Black,No,.,.
0.2586,14,Other,No,.,.
3.1392,14,White,Yes,14,1
3.1392,14,White,No,.,.
3.1392,14,White,Yes,11,1
2.8962,14,Other,No,.,.
2.8962,14,White,Yes,13,1
2.8962,14,White,Yes,13,5
0.8624,14,White,Yes,13,1
0.5843,14,Hispanic,No,.,.
0.8624,14,White,No,.,.
0.8624,14,White,No,.,.
0.8624,14,White,Yes,13,2
0.8624,14,White,Yes,11,4
0.8624,14,White,No,.,.
1.0917,14,White,No,.,.
