Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.7872,.,.,No,.,.
1.1223,.,Hispanic,Yes,14,3
0.2328,.,White,No,.,.
0.7221,.,Hispanic,.,.,.
0.8699,.,Hispanic,.,.,.
1.1703,.,Hispanic,.,.,.
0.6891,.,Hispanic,Yes,11,6
0.374,.,Hispanic,.,.,.
0.7585,.,Other,Yes,11,6
1.6881,.,Hispanic,Yes,11,6
0.0999,.,Hispanic,.,.,.
0.0999,.,Hispanic,.,.,.
0.1266,.,Hispanic,Yes,11,6
0.0999,.,Hispanic,.,.,.
0.073,.,Hispanic,.,.,.
0.0999,.,Hispanic,.,.,.
0.1337,.,Black,Yes,11,6
0.6626,.,Hispanic,.,.,.
0.1285,.,Hispanic,.,.,.
0.5595,.,Hispanic,.,.,.
0.6889,.,Hispanic,.,.,.
0.6088,.,Other,.,.,.
1.0723,.,Other,.,.,.
1.2339,.,Hispanic,.,.,.
1.7104,.,Hispanic,.,.,.
0.1537,.,Hispanic,.,.,.
0.7872,13,White,No,.,.
0.2898,13,.,No,.,.
0.8506,13,Other,No,.,.
1.6476,13,White,No,.,.
0.3777,13,Black,No,.,.
0.3168,13,Hispanic,.,.,.
0.1406,13,White,No,.,.
0.6889,13,.,.,.,.
1.6904,13,.,.,.,.
0.7291,13,Black,No,.,.
0.157,13,Black,No,.,.
0.724,14,White,No,.,.
0.724,14,White,No,.,.
0.2607,14,Other,No,.,.
0.724,14,White,No,.,.
0.724,14,White,No,.,.
0.724,14,White,No,.,.
0.724,14,White,No,.,.
2.0336,14,White,No,.,.
2.0336,14,White,No,.,.
2.0336,14,White,No,.,.
2.0336,14,White,No,.,.
3.0852,14,White,Yes,14,2
2.9348,14,Other,No,.,.
2.9348,14,Other,No,.,.
3.0852,14,White,No,.,.
4.6829,14,White,Yes,13,1
1.6861,14,White,No,.,.
1.6861,14,White,.,.,.
1.6861,14,White,No,.,.
1.6861,14,White,No,.,.
1.2307,14,Hispanic,No,.,.
0.8092,14,Hispanic,No,.,.
0.8092,14,Hispanic,No,.,.
0.8092,14,Hispanic,Yes,14,1
1.0546,14,Black,Yes,14,1
1.1087,14,White,No,.,.
1.7729,14,White,No,.,.
1.7729,14,Other,No,.,.
1.6864,14,Black,Yes,14,2
0.9218,14,Hispanic,No,.,.
0.9218,14,Hispanic,No,.,.
0.9218,14,Hispanic,No,.,.
0.9218,14,Hispanic,Yes,13,3
1.1752,14,.,No,.,.
1.1752,14,White,No,.,.
1.1752,14,White,No,.,.
1.1752,14,White,No,.,.
1.1157,14,White,No,.,.
0.8144,14,Hispanic,No,.,.
1.1157,14,White,No,.,.
1.1157,14,White,No,.,.
0.8144,14,Hispanic,No,.,.
0.7077,14,Other,No,.,.
1.1157,14,White,No,.,.
0.8144,14,Hispanic,No,.,.
0.8144,14,Hispanic,No,.,.
1.1157,14,White,No,.,.
1.0613,14,.,No,.,.
0.8144,14,Hispanic,No,.,.
1.0613,14,Black,No,.,.
1.1157,14,Other,No,.,.
1.1157,14,White,No,.,.
0.4994,14,Other,No,.,.
0.7872,14,White,No,.,.
0.5746,14,Hispanic,.,.,.
0.4994,14,Other,No,.,.
1.6034,14,White,No,.,.
1.0171,14,Other,No,.,.
1.6034,14,White,No,.,.
1.6034,14,White,No,.,.
1.6034,14,White,No,.,.
0.5775,14,Other,No,.,.
1.5375,14,White,No,.,.
1.1223,14,Hispanic,No,.,.
0.9201,14,White,No,.,.
0.9201,14,White,Yes,14,3
0.9201,14,White,No,.,.
0.9201,14,White,No,.,.
0.6716,14,Hispanic,Yes,13,2
0.9201,14,White,No,.,.
0.9201,14,White,No,.,.
0.9201,14,White,No,.,.
0.898,14,Black,No,.,.
0.9441,14,White,No,.,.
0.9441,14,White,Yes,13,1
0.6588,14,White,No,.,.
0.6588,14,White,No,.,.
0.6588,14,White,Yes,11,2
0.6588,14,White,Yes,14,1
0.6588,14,White,No,.,.
0.6588,14,White,Yes,14,1
0.6588,14,White,Yes,14,1
0.6588,14,White,No,.,.
0.6588,14,White,No,.,.
0.5021,14,White,No,.,.
0.5021,14,White,No,.,.
0.5021,14,White,No,.,.
0.3185,14,Other,No,.,.
0.5021,14,White,No,.,.
0.3665,14,Hispanic,No,.,.
0.5021,14,White,No,.,.
0.5021,14,White,No,.,.
0.5021,14,White,Yes,14,1
0.5021,14,White,No,.,.
0.5021,14,White,No,.,.
1.6339,14,White,No,.,.
0.8752,14,Black,No,.,.
0.9201,14,White,No,.,.
1.1927,14,Hispanic,No,.,.
1.6339,14,White,Yes,11,1
1.6339,14,White,No,.,.
4.6829,14,White,.,.,.
1.7091,14,Hispanic,No,.,.
1.4853,14,Other,No,.,.
1.7091,14,Hispanic,No,.,.
1.4853,14,Other,Yes,11,4
1.7091,14,Hispanic,No,.,.
1.7091,14,Hispanic,No,.,.
1.1223,14,Hispanic,.,.,.
2.6844,14,Hispanic,No,.,.
1.6034,14,White,No,.,.
2.3329,14,Other,.,.,.
2.6844,14,Hispanic,Yes,14,2
0.992,14,Hispanic,Yes,12,1
0.992,14,Hispanic,No,.,.
0.992,14,Hispanic,No,.,.
0.992,14,Hispanic,Yes,14,1
0.992,14,Hispanic,No,.,.
0.992,14,Hispanic,No,.,.
2.5784,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
0.7207,14,Hispanic,No,.,.
1.1157,14,White,No,.,.
0.8144,14,Hispanic,No,.,.
1.1157,14,White,No,.,.
2.21,14,White,No,.,.
1.6131,14,Hispanic,No,.,.
2.1022,14,Black,No,.,.
1.6131,14,Hispanic,No,.,.
2.1022,14,Black,No,.,.
2.21,14,White,No,.,.
2.21,14,White,No,.,.
1.6131,14,Hispanic,Yes,11,3
0.9695,14,Hispanic,No,.,.
0.9695,14,Hispanic,No,.,.
0.9695,14,Hispanic,No,.,.
0.9695,14,Hispanic,No,.,.
0.9695,14,Hispanic,No,.,.
0.2457,14,Black,Yes,14,1
0.2457,14,Black,No,.,.
0.2457,14,Black,No,.,.
0.2457,14,Black,No,.,.
0.2457,14,.,No,.,.
1.1087,14,White,No,.,.
0.8092,14,Hispanic,No,.,.
0.2457,14,Black,.,.,.
1.1087,14,White,Yes,14,2
0.3195,14,Black,No,.,.
0.3359,14,White,No,.,.
0.3359,14,White,No,.,.
0.3359,14,White,No,.,.
0.3359,14,White,No,.,.
4.6829,14,White,No,.,.
0.2452,14,Hispanic,No,.,.
0.3359,14,White,No,.,.
0.3359,14,White,Yes,14,1
0.3359,14,White,No,.,.
0.3359,14,White,No,.,.
0.3195,14,Black,No,.,.
0.3359,14,White,No,.,.
0.3359,14,White,No,.,.
0.3195,14,Black,No,.,.
2.0336,14,White,No,.,.
0.2452,14,Hispanic,No,.,.
0.3359,14,White,No,.,.
0.3195,14,Black,No,.,.
0.3359,14,White,No,.,.
0.3125,14,White,Yes,14,2
0.2972,14,Black,No,.,.
0.2972,14,Black,No,.,.
0.2972,14,Black,No,.,.
0.2972,14,Black,Yes,13,3
0.7848,14,White,No,.,.
0.7848,14,White,Yes,14,1
0.4978,14,Other,.,.,.
0.5729,14,Hispanic,No,.,.
0.7465,14,Black,No,.,.
0.7848,14,White,No,.,.
2.1694,14,Hispanic,No,.,.
1.0965,14,Hispanic,No,.,.
0.3881,14,Hispanic,No,.,.
0.6345,14,Black,No,.,.
0.8855,14,Hispanic,No,.,.
0.3256,14,Black,Yes,14,2
0.9617,14,White,No,.,.
0.5766,14,White,No,.,.
1.6092,14,White,No,.,.
0.4526,14,Hispanic,No,.,.
0.5898,14,Black,No,.,.
0.472,14,.,No,.,.
2.674,14,Black,No,.,.
2.6911,14,Hispanic,No,.,.
1.5398,14,White,No,.,.
2.9205,14,White,No,.,.
1.347,14,Hispanic,No,.,.
1.3817,14,White,Yes,13,6
0.7689,14,Black,Yes,13,1
1.6476,14,Other,Yes,14,2
1.2021,14,White,No,.,.
0.5898,14,Black,No,.,.
1.8873,14,White,No,.,.
0.3622,14,Hispanic,No,.,.
2.1333,14,Black,No,.,.
0.4963,14,White,No,.,.
0.397,14,White,No,.,.
0.3464,14,Other,No,.,.
0.9617,14,Other,No,.,.
0.39,14,Hispanic,No,.,.
1.5398,14,White,No,.,.
0.5766,14,White,No,.,.
1.0965,14,Hispanic,No,.,.
4.6829,14,White,No,.,.
0.3423,14,White,No,.,.
0.7216,14,Hispanic,No,.,.
0.9036,14,White,No,.,.
0.5766,14,White,No,.,.
0.5766,14,Hispanic,No,.,.
0.1573,14,Other,No,.,.
4.156,14,White,No,.,.
0.8855,14,Hispanic,No,.,.
1.7429,14,White,No,.,.
1.2387,14,White,No,.,.
